"symbol","logFC","P.Value","chr","description"
"Epop",-0.385927716236818,0.2212,"11","elongin BC and polycomb repressive complex 2 associated protein"
"Arhgap11a",0.385371201075697,0.19,"2","Rho GTPase activating protein 11A"
"Cars",-0.384278092125862,0.0168,"7","cysteinyl-tRNA synthetase"
"Polk",0.384036311149674,0.208,"13","polymerase (DNA directed), kappa"
"Acer2",-0.383760205634488,0.2472,"4","alkaline ceramidase 2"
"Sf3b5",-0.38369886442155,0.1988,"10","splicing factor 3b, subunit 5"
"Lcp1",0.383323688367976,0.5688,"14","lymphocyte cytosolic protein 1"
"Gask1a",-0.383228379379672,0.0824,"9","golgi associated kinase 1A"
"Ftl1",-0.383157804229458,0.314,"7","ferritin light polypeptide 1"
"Srpk3",-0.383057736455283,0.3296,"X","serine/arginine-rich protein specific kinase 3"
"9630013A20Rik",0.382597829571891,0.166,"14","RIKEN cDNA 9630013A20 gene"
"Dus4l",-0.382554410407161,0.136,"12","dihydrouridine synthase 4-like (S. cerevisiae)"
"H2-Q4",-0.382551824651586,0.1532,"17","histocompatibility 2, Q region locus 4"
"Usp53",0.382440555975168,0.154,"3","ubiquitin specific peptidase 53"
"Dock4",0.382143743088463,0.3776,"12","dedicator of cytokinesis 4"
"Nudt14",-0.382029253455742,0.1128,"12","nudix (nucleoside diphosphate linked moiety X)-type motif 14"
"Ide",-0.381183252369905,0.0352,"19","insulin degrading enzyme"
"Coro6",-0.380165235285265,0.1884,"11","coronin 6"
"Dusp4",0.379869623707153,0.2208,"8","dual specificity phosphatase 4"
"Pdia5",-0.379516266095644,0.34,"16","protein disulfide isomerase associated 5"
"Itpka",-0.378941283105434,0.2144,"2","inositol 1,4,5-trisphosphate 3-kinase A"
"Rps11",-0.378899037520418,0.266,"7","ribosomal protein S11"
"Cnr1",0.377844748024664,0.1052,"4","cannabinoid receptor 1 (brain)"
"Rbms3",0.377782121966904,0.1884,"9","RNA binding motif, single stranded interacting protein"
"Serpinb1a",-0.377273981512134,0.2112,"13","serine (or cysteine) peptidase inhibitor, clade B, member 1a"
"Pradc1",-0.376920947306127,0.058,"6","protease-associated domain containing 1"
"Psmg4",-0.376766382527317,0.2924,"13","proteasome (prosome, macropain) assembly chaperone 4"
"Rsph9",-0.376754192743801,0.24,"17","radial spoke head 9 homolog (Chlamydomonas)"
"Rpl38",-0.376104577348761,0.326,"11","ribosomal protein L38"
"Plin2",-0.375641406995764,0.1124,"4","perilipin 2"
"Rpl9",-0.375238203513678,0.2216,"5","ribosomal protein L9"
"Medag",0.375100670788719,0.2592,"5","mesenteric estrogen dependent adipogenesis"
"Wnt5a",0.375030616863048,0.0176,"14","wingless-type MMTV integration site family, member 5A"
"Esam",-0.374992513011804,0.0076,"9","endothelial cell-specific adhesion molecule"
"Lrrc56",0.374887424724753,0.0216,"7","leucine rich repeat containing 56"
"Rps15",-0.37484981048507,0.3752,"10","ribosomal protein S15"
"Doc2g",-0.374548504201998,0.1508,"19","double C2, gamma"
"Ccm2l",-0.374230605338914,0.2208,"2","cerebral cavernous malformation 2-like"
"Rps14",-0.374166219358103,0.296,"18","ribosomal protein S14"
"Plk5",-0.374101122260546,0.1484,"10","polo like kinase 5"
"Colec12",0.373735611618738,0.476,"18","collectin sub-family member 12"
"Alkbh3",-0.373583489025288,0.0296,"2","alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase"
"Zfp185",-0.372852934064506,0.3984,"X","zinc finger protein 185"
